image/width,image/height,image/object/part/NOSE_TIP/center/x,image/object/part/NOSE_TIP/center/y,image/object/part/NOSE_TIP/score,image/object/part/LEFT_SHOULDER/center/x,image/object/part/LEFT_SHOULDER/center/y,image/object/part/LEFT_SHOULDER/score,image/object/part/RIGHT_SHOULDER/center/x,image/object/part/RIGHT_SHOULDER/center/y,image/object/part/RIGHT_SHOULDER/score,image/object/part/LEFT_ELBOW/center/x,image/object/part/LEFT_ELBOW/center/y,image/object/part/LEFT_ELBOW/score,image/object/part/RIGHT_ELBOW/center/x,image/object/part/RIGHT_ELBOW/center/y,image/object/part/RIGHT_ELBOW/score,image/object/part/LEFT_WRIST/center/x,image/object/part/LEFT_WRIST/center/y,image/object/part/LEFT_WRIST/score,image/object/part/RIGHT_WRIST/center/x,image/object/part/RIGHT_WRIST/center/y,image/object/part/RIGHT_WRIST/score,image/object/part/LEFT_HIP/center/x,image/object/part/LEFT_HIP/center/y,image/object/part/LEFT_HIP/score,image/object/part/RIGHT_HIP/center/x,image/object/part/RIGHT_HIP/center/y,image/object/part/RIGHT_HIP/score,image/object/part/LEFT_KNEE/center/x,image/object/part/LEFT_KNEE/center/y,image/object/part/LEFT_KNEE/score,image/object/part/RIGHT_KNEE/center/x,image/object/part/RIGHT_KNEE/center/y,image/object/part/RIGHT_KNEE/score,image/object/part/LEFT_ANKLE/center/x,image/object/part/LEFT_ANKLE/center/y,image/object/part/LEFT_ANKLE/score,image/object/part/RIGHT_ANKLE/center/x,image/object/part/RIGHT_ANKLE/center/y,image/object/part/RIGHT_ANKLE/score
110.3,236.51,0.0,0.0,0.0,0.3767905711695377,0.22992685298718868,0.98,0.7113327289211245,0.24028582300959808,0.98,0.14106980961015414,0.23884825165954932,0.98,0.8962828649138714,0.14565980296816222,0.97,0.07905711695376272,0.1739038518455879,0.98,0.8865820489573891,0.038476174368948554,0.98,0.4093381686310067,0.5068707454230265,0.98,0.6368087035358115,0.5131284089467677,0.98,0.26382592928377174,0.7211957211111584,0.98,0.5973708068902996,0.7372626950234663,0.97,0.24061650045330935,0.9378461798655451,0.98,0.6392565729827747,0.948331994418841,0.97
109.22,236.86,0.0,0.0,0.0,0.35826771653543354,0.23296462045089905,1.0,0.6938289690532872,0.2511188043570042,0.99,0.11719465299395726,0.2419572743392719,0.99,0.9050540194103647,0.14814658448028337,0.96,0.08212781541842179,0.16364096934898248,0.98,0.881798205456876,0.03487292071265723,0.91,0.40047610327778804,0.520729544878831,0.99,0.6301043764878232,0.5252047623068478,0.97,0.24088994689617288,0.7325846491598411,0.98,0.5869804065189527,0.7437304736975426,0.97,0.2521516205823111,0.9414844211770665,0.98,0.6579381065738877,0.9502237608714005,0.97
108.75,235.82,0.0,0.0,0.0,0.36165517241379297,0.23225341362055799,0.98,0.6826666666666668,0.2507420914256636,0.98,0.10868965517241373,0.23394962259350335,0.98,0.9027126436781611,0.15138665083538264,0.93,0.08698850574712624,0.15274361801373923,0.97,0.8866206896551726,0.037825460096683736,0.94,0.3786666666666667,0.5159867695700109,0.99,0.6192183908045975,0.5197184293104908,0.97,0.23944827586206915,0.7410312950555509,1.0,0.5952183908045978,0.7462471376473583,0.97,0.26519540229885036,0.9396149605631411,0.98,0.6771494252873562,0.9503434823170216,0.97
108.51,235.8,0.0,0.0,0.0,0.3678923601511383,0.2323155216284986,1.0,0.6873099253525025,0.24694656488549577,0.99,0.1104045710072806,0.22659033078880386,0.99,0.9066445488895032,0.15665818490245945,0.95,0.09925352502073577,0.14393553859202687,0.98,0.9145700857063865,0.03698049194232363,0.94,0.40613768316284204,0.5192536047497877,0.99,0.6404939636899825,0.5216709075487701,0.97,0.2738918072067093,0.7345631891433414,0.99,0.6333056861118793,0.7419423240033923,0.97,0.2897428808404755,0.9379983036471583,0.98,0.7060178785365405,0.9498303647158605,0.97
108.95,234.16,0.0,0.0,0.0,0.36099128040385536,0.23155107618722254,0.98,0.6759981642955487,0.24316706525452705,0.98,0.10766406608536042,0.22890331397335165,0.98,0.9045433685176687,0.15741373419883847,0.98,0.10151445617255624,0.13998975059788216,0.98,0.9166590178981184,0.037581141100102786,0.97,0.40624139513538365,0.5228476255551763,0.99,0.6178981184029376,0.5202425691834646,0.97,0.2758145938503902,0.7337290741373422,1.0,0.63845800826067,0.7473522377861291,0.96,0.31583295089490615,0.9427741715066621,0.99,0.7363010555300599,0.9513580457806627,0.97
112.49,233.39,0.0,0.0,0.0,0.35532047293092744,0.23064398646043074,1.0,0.6765045781847278,0.24486910321778987,0.99,0.10240910303138091,0.21967522173186504,0.99,0.8989243488310072,0.16174643300912636,0.97,0.13787892257089512,0.12267020866361025,0.96,0.9162592230420482,0.04040447319936566,0.97,0.4093697217530448,0.5174171986803204,0.99,0.6180104898213178,0.5198166159646941,0.98,0.30313805671615274,0.7371781138866274,0.98,0.6517023735443151,0.7457903080680405,0.98,0.36403235843186055,0.9444706285616349,0.9,0.7680682727353546,0.9493551566048243,0.93
112.58,230.35,0.0,0.0,0.0,0.362142476461183,0.22357282396353376,1.0,0.6747201989696214,0.23889733014977196,0.99,0.10881151181382129,0.2138484914260907,0.99,0.8891454965357964,0.16062513566312134,0.95,0.15038195061289705,0.11782070761884084,0.95,0.9260081719666016,0.03620577382244425,0.95,0.4119737075857168,0.5135228999348815,0.99,0.6270207852193993,0.5149120902973736,0.97,0.3206608633860363,0.7440850879097025,0.98,0.6596198259015811,0.7475580638159325,0.97,0.37804228104459003,0.9485999565878012,0.73,0.784508793746669,0.9469068808335143,0.83
111.66,227.1,0.0,0.0,0.0,0.3505283897546121,0.2123734037868781,1.0,0.6576213505283899,0.2273007485689124,0.98,0.10370768404083812,0.19894319682959077,0.99,0.884381157084005,0.14522236900044042,0.97,0.15869604155471942,0.099383531483928,0.98,0.9246820705713774,0.03707617789520067,0.97,0.4350707504925666,0.5063408190224571,0.99,0.6477700161203652,0.5030383091149274,0.97,0.3487372380440623,0.7397622192866579,0.98,0.678846498298406,0.7338177014531048,0.97,0.4212788823213323,0.9508146191105243,0.96,0.8259896113200785,0.9422280933509468,0.96
109.18,230.33,0.0,0.0,0.0,0.36151309763692957,0.2177744974601657,0.99,0.6805275691518594,0.23036512829418634,0.98,0.10487268730536717,0.20670342551990628,1.0,0.8951273126946323,0.1516953935657532,0.98,0.16706356475544978,0.1039378283332607,0.99,0.9240703425535811,0.035948421829548785,0.96,0.4499908408133357,0.5095298050623019,0.98,0.6780545887525185,0.5044935527286933,0.97,0.37754167429932195,0.7399383493248815,0.98,0.72467484887342,0.7328615464767939,0.97,0.45740978201135735,0.949941388442669,0.97,0.8675581608353174,0.9437763209308383,0.97
113.16,225.6,0.0,0.0,0.0,0.36311417462000684,0.20704787234042518,1.0,0.6752386002120888,0.20731382978723398,0.98,0.11293743372216307,0.18918439716312035,0.99,0.8217568045245666,0.13754432624113463,0.97,0.20475433015199682,0.08541666666666659,0.98,0.8822021915871332,0.03484042553191496,0.97,0.4855072463768116,0.4959663120567375,0.99,0.6934429126899962,0.48541666666666666,0.98,0.4217037822552136,0.7283244680851062,0.98,0.7570696359137501,0.7201684397163117,0.98,0.49726051608342153,0.9492907801418439,0.95,0.8869741958289149,0.9315159574468085,0.98
115.96,226.17,0.0,0.0,0.0,0.3510693342531906,0.20665870805146577,1.0,0.6469472231804069,0.20051288853517277,0.99,0.11460848568471856,0.1827386479197066,0.99,0.7719903414970678,0.13330680461599673,0.94,0.21067609520524325,0.08608568775699707,0.98,0.8196791997240429,0.03546005217314402,0.91,0.497412901000345,0.49820931157978493,0.99,0.6921352190410486,0.48600610160498725,0.98,0.433511555708865,0.7263120661449352,0.98,0.7665574335977923,0.7070345315470663,0.97,0.49335977923421853,0.9480479285493212,0.96,0.892721628147637,0.9227572180218422,0.97
118.12,221.65,0.0,0.0,0.0,0.3206908228919742,0.20135348522445293,1.0,0.608956992888588,0.1906609519512745,0.98,0.10616322384016223,0.17238890142115965,0.99,0.6609380291229258,0.11021881344461967,0.83,0.20953267863189975,0.06997518610421832,0.97,0.7094480189637657,0.027205053011504502,0.8,0.5054182187605823,0.4969546582449807,0.98,0.6877751439214359,0.4748928490863974,0.96,0.45081273281408735,0.724114595082337,0.97,0.7717575347104636,0.7083690503045341,0.96,0.4777345072807315,0.9477103541619668,0.96,0.8934134778191667,0.9191518159260096,0.96
121.75,216.69,0.0,0.0,0.0,0.28714579055441464,0.18810281969634035,0.96,0.5259137577002051,0.17527343209192864,0.95,0.09609856262833666,0.1386312243296874,0.97,0.0,0.0,0.0,0.18817248459958907,0.040564862245604155,0.92,0.0,0.0,0.0,0.48320328542094443,0.45350500715307573,0.98,0.6317043121149895,0.4424292768471088,0.96,0.42899383983572864,0.6959712031012042,1.0,0.7428336755646817,0.6559139784946236,0.95,0.40936344969199157,0.9451751349854629,0.98,0.89741273100616,0.8906271632285754,0.93
123.25,211.95,0.0,0.0,0.0,0.22052738336714,0.18914838405284282,0.98,0.4322920892494927,0.16867185656994574,0.96,0.07342799188640983,0.12719981127624458,1.0,0.0,0.0,0.0,0.13711967545638926,0.030148619957537093,0.87,0.0,0.0,0.0,0.4128194726166328,0.4687426279782969,0.96,0.5429614604462476,0.4477942911063929,0.96,0.34507099391480706,0.697428638829913,0.96,0.6470588235294118,0.660250058976174,0.83,0.327707910750507,0.951167728237792,0.95,0.9020689655172415,0.8370842179759381,0.88
78.55,203.22,0.0,0.0,0.0,0.3753023551877787,0.16474756421612,0.97,0.6972628898790577,0.1366991437850604,0.96,0.10210057288351346,0.12685759275661831,0.69,0.0,0.0,0.0,0.2050922978994273,0.029426237575041356,0.59,0.0,0.0,0.0,0.6322087842138762,0.4473477019978347,1.0,0.8491406747294715,0.42451530361184914,0.96,0.5161043921069378,0.690827674441492,0.97,0.6660725652450667,0.6654856805432536,0.62,0.5495862507956718,0.9495128432240918,0.96,0.0,0.0,0.0
145.72,200.03,0.0,0.0,0.0,0.24965687620093327,0.1453282007698842,0.98,0.40337633818281654,0.10113482977553376,0.96,0.05970354103760629,0.17027445883117506,1.0,0.0,0.0,0.0,0.10321163875926448,0.0634404839274106,0.92,0.0,0.0,0.0,0.3705737029920395,0.43208518722191647,0.97,0.49210815262146607,0.39829025646153055,0.95,0.31409552566566046,0.6850472429135628,0.95,0.5944276695031567,0.621056841473779,0.85,0.3312517156189956,0.9495075738639202,0.93,0.9139445511940709,0.713742938559216,0.89
81.7,202.78,0.24504283965728252,0.026876417792681948,0.71,0.450673194614443,0.18261169740605568,1.0,0.6199510403916766,0.12269454581319654,0.97,0.10367197062423464,0.24262747805503523,0.98,0.0,0.0,0.0,0.1204406364749079,0.13201499161653013,0.97,0.0,0.0,0.0,0.701468788249694,0.4423020021698395,0.98,0.854834761321909,0.4125160272216194,0.93,0.5941248470012235,0.6953841601735871,0.96,0.7170134638922886,0.6642666929677485,0.51,0.6307221542227659,0.9532498273991521,0.93,0.0,0.0,0.0
79.15,198.29,0.22274162981680345,0.025366886882848216,0.63,0.4852811118130128,0.16369963185233768,1.0,0.6179406190777001,0.11856371980432695,0.91,0.1233101705622235,0.24287659488627752,0.95,0.0,0.0,0.0,0.09892608970309517,0.13046547985274096,0.9,0.0,0.0,0.0,0.7705622236260266,0.434363810580463,0.98,0.8583701831964623,0.41459478541530104,0.88,0.6405559065066327,0.6867214685561549,0.93,0.0,0.0,0.0,0.6627921667719516,0.9534520147259062,0.94,0.0,0.0,0.0
139.13,195.51,0.11442535757924215,0.023170170323768467,0.7,0.30151656723927256,0.16311186128586766,1.0,0.29260403938762297,0.12444376246739261,0.84,0.09379716811615003,0.27850237839496667,0.98,0.0,0.0,0.0,0.052397038740745805,0.15850851618843032,0.96,0.0,0.0,0.0,0.4960828002587507,0.42754846299421984,0.98,0.4994609358154241,0.41619354508720785,0.81,0.4155825486954646,0.6827272262288375,0.82,0.5260547689211529,0.6373075546007873,0.54,0.40796377488679647,0.9547849214873918,0.8,0.9279091497160926,0.710603038207764,0.48
143.39,191.08,0.09770555826766157,0.024440025120368216,0.82,0.29625496896575787,0.15155955620682396,0.99,0.2477160192482045,0.11989742516223553,0.83,0.10509798451774877,0.2923906217291181,0.98,0.0,0.0,0.0,0.04560987516563234,0.17029516432907663,0.85,0.0,0.0,0.0,0.4950135992747055,0.4153234247435624,0.98,0.4796708278122605,0.41181703998325275,0.83,0.4219262152172397,0.6774649361523964,0.92,0.5628704930608832,0.6562696252878374,0.66,0.41104679545296047,0.956248691647477,0.84,0.9119882837017926,0.7471739585513919,0.73
140.78,190.91,0.08843585736610306,0.027657011157089587,0.83,0.2887484017616141,0.14221360850662604,1.0,0.22076999573803127,0.10895186213399019,0.9,0.12665151299900582,0.28757005919019424,0.99,0.0,0.0,0.0,0.05249325188236956,0.19915143261222557,0.98,0.0,0.0,0.0,0.48948714306009394,0.4077313917552775,0.99,0.4773405313254723,0.4028076056780681,0.95,0.4304588719988636,0.6775967733486984,0.97,0.5743003267509591,0.6353779267717776,0.89,0.4040346640147748,0.9477240584568648,0.96,0.9016195482312829,0.7888010057094968,0.92
